,,,,,,,,,,,,,,,,,,,,,,,,,,
数据导出日期为2023-02-02，点击企业名称可查看最新数据。更多企业信息请访问：aiqicha.baidu.com ,,,,,,,,,,,,,,,,,,,,,,,,,,
企业名称,经营状态,法定代表人,注册资本,实缴资本,成立日期,核准日期,营业期限,所属省份,所属城市,所属区县,电话,更多电话,邮箱,更多邮箱,统一社会信用代码,纳税人识别号,工商注册号,组织机构代码,参保人数,企业类型,所属行业,曾用名,注册地址,最新年报地址,网址,经营范围
深圳市汉昌建材装修有限公司,开业,朱才望,300万(元),-,2021-04-21,2021-04-21,-,广东省,深圳市,宝安区,15361411168,-,15361411168@139.com,-,91440300MA5GQ7AB5R,91440300MA5GQ7AB5R,440300213534566,MA5GQ7AB-5,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,-,深圳市宝安区福永街道兴围社区宝安大道6018号104,-,"一般经营项目是：室内外装饰工程、建筑工程的设计与施工；广告设计；建筑材料、装饰材料、电器元件的销售，囯内贸易（不含专营、专卖、专控商品）；货物及技术进出口业务。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外,限制的项目须取得许可后方可经营），许可经营项目是：无"
深圳市精信诚装修设计有限公司,开业,李琼,100万(元),-,2020-04-30,2020-04-30,-,广东省,深圳市,龙岗区,13682596763,-,2598557011@qq.com,-,91440300MA5G5YHB91,91440300MA5G5YHB91,440300210077031,MA5G5YHB-9,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市龙岗区龙岗街道龙岗社区罗福路16号201,深圳市龙岗区龙岗街道龙岗社区罗福路16号201,-,一般经营项目是：室内外装饰、装修、装潢工程的设计及施工；建筑设计咨询；装饰装修工程信息咨询；大型商场配套装修装饰工程；园林绿化工程；水电、空调设备安装工程；防水工程；装饰装修材料的销售；国内贸易。，许可经营项目是：
深圳市丰鑫装修装饰工程有限公司,开业,薛金萍,50万(元),-,2020-04-09,2021-09-28,-,广东省,深圳市,宝安区,13714028731,-,879581720@qq.com,-,91440300MA5G4KMQXU,91440300MA5G4KMQXU,440300209848112,MA5G4KMQ-X,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市宝安区燕罗街道罗田社区罗中路北区118号罗中路北区118-1,深圳市宝安区燕罗街道罗田社区罗中路北区118号罗中路北区118-1,-,一般经营项目是：建筑材料的销售。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：家庭及公共场所装修工程的设计与施工。
深圳市翔博装修装饰设计有限公司,开业,吴煜立,100万(元),-,2020-06-16,2021-06-28,-,广东省,深圳市,罗湖区,13699888037,-,13699888037@163.com,-,91440300MA5G8FEG5K,91440300MA5G8FEG5K,440300210511394,MA5G8FEG-5,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市罗湖区翠竹街道翠达社区太安路78号粤海新村7栋202,深圳市罗湖区翠竹街道翠达社区太安路78号粤海新村7栋202,-,一般经营项目是：装修工程、水电安装工程、钢结构工程、防水补漏工程、建筑工程的设计及施工；市政工程、土石工程的施工；园林景观设计；园林绿化工程；物业管理；清洁服务；建材、机电设备、家居用品的销售；国内贸易，货物及技术进出口业务（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）。（企业经营涉及行政许可的，须取得行政许可文件后方可经营），许可经营项目是：无
深圳市慧民装修工程有限公司,开业,姚世文,800万(元),-,2020-08-25,2020-08-25,-,广东省,深圳市,宝安区,13530570238,-,114238968686@qq.com,-,91440300MA5GC2M79F,91440300MA5GC2M79F,440300211246569,MA5GC2M7-9,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市宝安区西乡街道南昌社区南昌创业路28号荔景名苑B、C栋C905,深圳市宝安区西乡街道南昌社区南昌创业路28号荔景名苑B、C栋C905,-,一般经营项目是：室内外装修工程、园林绿化工程的设计与施工；建筑装饰设计；市政公用工程、建筑幕墙工程、钢结构工程、空调安装工程、水电安装工程的施工、厂房的设计与装修工程、消防设施工程设计与施工；建筑材料、装饰材料、金属材料、五金制品、灯具的销售；国内贸易。，许可经营项目是：无
深圳佳汇美装修装饰有限公司,开业,林佳苗,"1,000万(元)",-,2020-01-06,2020-01-06,-,广东省,深圳市,福田区,13640352102,-,1625035919@qq.com,13640352102@qq.com,91440300MA5G1GADX5,91440300MA5G1GADX5,440300209200433,MA5G1GAD-X,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市福田区福田街道福华社区福华路21号福侨大厦A座20C,深圳市福田区福田街道福华社区福华路21号福侨大厦A座20C,-,一般经营项目是：装饰装修工程设计；五金建材、装饰材料、建筑材料的批发与零售。，许可经营项目是：无
深圳耀明装修有限公司,开业,黎芬芬,100万(元),-,2020-10-21,2020-12-22,-,广东省,深圳市,宝安区,15817204201,-,-,-,91440300MA5GENBJ5M,91440300MA5GENBJ5M,440300211725685,MA5GENBJ-5,-,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市宝安区西乡街道流塘社区流塘新村一巷5号栖息地609,深圳市宝安区西乡街道流塘社区流塘新村一巷5号栖息地609,-,一般经营项目是：室内装修；店铺装修；写字楼装修；别墅装修。，许可经营项目是：无
深圳市星梦装修工程有限公司,开业,林松源,50万(元),-,2021-03-10,2021-03-10,-,广东省,深圳市,宝安区,15013587353,-,1609165022@qq.com,-,91440300MA5GMNR80H,91440300MA5GMNR80H,440300213088499,MA5GMNR8-0,-,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市宝安区沙井街道坣岗社区惠南园29号楼房一102,深圳市宝安区沙井街道坣岗社区惠南园29号楼房一102,-,一般经营项目是：室内外装饰装修工程、建筑装饰工程；PP板PVC板安装工程；建筑材料、防水材料、装饰材料、劳保产品、金属材料、五金交电、金属门窗及护栏的销售；室内外装饰工程设计、施工；建筑工程设计、园林绿化工程设计、包装设计、平面设计；土木工程；市政工程；水电安装工程、建设工程、钢结构工程、家装工程、工装工程；工程设计、工程施工；士石方工程；安方工程；景观工程；环保设备、机电设备安装工程；铝合金及不锈钢工程、搭棚搭架工程；劳务信息咨询；国内贸易；经营进出口业务。，许可经营项目是：无
深圳爱楠装修有限公司,开业,刘智明,100万(元),-,2021-01-15,2021-01-15,-,广东省,深圳市,南山区,15688759343,-,15688759343@qq.com,-,91440300MA5GKR695C,91440300MA5GKR695C,440300212703824,MA5GKR69-5,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市南山区南头街道马家龙社区南山大道3186号明江大厦C单元五层(入驻深圳市可乐商务秘书有限公司),深圳市南山区南头街道马家龙社区南山大道3186号明江大厦C单元五层（入驻深圳市可乐商务秘书有限公司）,-,一般经营项目是：建筑材料的销售，消防器材、木材制品、陶瓷、洁具、五金、卫浴的上门安装维修与材料销售，环保节能材料销售，空调安装。，许可经营项目是：装修装饰工程、建筑工程的设计与施工、消防工程、环保工程、幕墙工程、钢结构工程、机电工程、防水工程的设计与施工，室内装修、铝合金门窗、水电安装工程的设计与施工。
深圳兴禄装修有限公司,开业,林伟,100万(元),-,2020-08-04,2021-11-18,-,广东省,深圳市,宝安区,18128876205,-,18128876205@163.com,-,91440300MA5GB2HE98,91440300MA5GB2HE98,440300211068567,MA5GB2HE-9,-,有限责任公司(法人独资),建筑装饰、装修和其他建筑业,-,深圳市宝安区新安街道大浪社区27区华联城市全景E、F、G栋G栋911,深圳市宝安区石岩街道塘头社区松白路168号1505美华商务大厦1505,-,一般经营项目是：装修建筑公司、电子商务，国内贸易，经营进出口业务。，许可经营项目是：无
深圳章鱼堡装修有限公司,开业,陈曼曼,100万(元),-,2021-09-14,2022-12-12,2021-09-14 至 9999-12-31,广东省,深圳市,龙岗区,13728668785,-,1375923425@qq.com,-,91440300MA5H07HP3G,91440300MA5H07HP3G,440300214844133,MA5H07HP-3,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市龙岗区坂田街道大发埔社区百利路6号信义御珑豪园1栋1603,深圳市龙华区民治街道龙塘社区星河传奇花园二期C座806,-,一般经营项目是：工业工程设计服务；金属材料销售；木材销售；园艺产品销售；专业设计服务；园林绿化工程施工。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：住宅室内装饰装修；建设工程监理；建设工程设计；建设工程施工；对外承包工程。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市欣昇装修服务管理有限公司,开业,郑创远,"1,000万(元)",-,2020-04-03,2020-08-17,-,广东省,深圳市,龙岗区,13590330807,-,542753044@QQ.COM,lvty@jialind.com,91440300MA5G4DF110,91440300MA5G4DF110,440300209812059,MA5G4DF1-1,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,深圳市欣昇商贸有限公司,深圳市龙岗区坂田街道新雪社区嘉霖悦禧园6栋商铺33,深圳市龙岗区坂田街道新雪社区嘉霖悦禧园6栋商铺33,-,一般经营项目是：室内外装饰工程的设计与施工;室内外装饰工程的咨询;园林绿化工程的设计及施工;工程技术咨询服务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。（同意登记机关调整规范经营范围表述，以登记机关登记为准），许可经营项目是：
深圳精士达装修工程有限公司,开业,陈鑫羽,400万(元),-,2021-08-24,2022-12-15,2021-08-24 至 9999-12-31,广东省,深圳市,宝安区,13714178668,-,13714178668@163.com,-,91440300MA5GY9LH3F,91440300MA5GY9LH3F,440300214675577,MA5GY9LH-3,0人,有限责任公司(自然人独资),零售业,-,深圳市宝安区福永街道白石厦社区广深路福永段95号金石雅苑2栋9座1503,深圳市宝安区西乡街道盐田社区银田工业区B12栋201,-,一般经营项目是：国内贸易代理；建筑材料销售；建筑装饰材料销售；轻质建筑材料销售；建筑砌块销售；建筑工程用机械销售；建筑防水卷材产品销售；建筑用金属配件销售；建筑用钢筋产品销售；建筑陶瓷制品销售；塑料制品销售；专业设计服务；工业设计服务；平面设计；工业工程设计服务；工程管理服务；规划设计管理；服装服饰零售；服装服饰批发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：无
深圳市新泽丰装饰装修有限公司,开业,张思华,100万(元),-,2021-04-08,2021-10-20,2021-04-08 至 9999-12-31,广东省,深圳市,龙岗区,18822959068,-,1064703100@qq.com,-,91440300MA5GPCNG7M,91440300MA5GPCNG7M,440300213383949,MA5GPCNG-7,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市龙岗区平湖街道禾花社区水门路288号水门逸欣园1栋A919,深圳市龙岗区平湖街道禾花社区水门路288号水门逸欣园1栋A919,-,一般经营项目是：装饰工程、暖通工程设计、水电安装、室内外装饰工程、建筑工程、安防工程、防水工程、绿化工程、钢结构工程、门窗工程设计、电气工程、配套陈设工程、排水工程、室内外装饰面工程。金属门窗工程施工。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：门窗制造加工。
深圳盛翔建设装修有限公司,开业,李千钦,200万(元),-,2020-09-15,2020-09-15,-,广东省,深圳市,龙岗区,15277571962,-,2244563834@qq.com,-,91440300MA5GD3YF9R,91440300MA5GD3YF9R,440300211432976,MA5GD3YF-9,0人,有限责任公司,建筑安装业,-,深圳市龙岗区平湖街道禾花社区华南大道一号华南国际纺织服装原辅料物流区二期3E-013,深圳市龙岗区平湖街道禾花社区华南大道一号华南国际纺织服装原辅料物流区二期3E-013,-,一般经营项目是：建筑材料、水暖器材、消防器材、机电设备、光伏发电设备、交通设施的销售；物业管理；建筑工程施工、装饰、装修（取得建设行政主管部门颁发的资质证书方可经营）；电气安装；管道安装、维修与检测服务。，许可经营项目是：无
深圳市利旺装修设计有限公司,开业,陈子翀,100万(元),-,2021-07-01,2021-07-01,-,广东省,深圳市,南山区,18826526309,-,247710706@qq.com,-,91440300MA5GUW7T31,91440300MA5GUW7T31,440300214217481,MA5GUW7T-3,0人,有限责任公司(自然人独资),专业技术服务业,-,深圳市南山区招商街道水湾社区荔园路32号水湾1979花园3栋2621,深圳市南山区招商街道水湾社区荔园路32号水湾1979花园3栋2621,-,一般经营项目是：承接总公司工程建设业务；家具安装和维修服务；家用电器安装服务；图文设计制作；广告设计、代理；平面设计；工程技术服务（规划管理、勘察、设计、监理除外）；工业工程设计服务；工程管理服务；国内贸易代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：住宅室内装饰装修；建设工程设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市壹号装修服务有限公司,开业,李学风,100万(元),-,2020-05-27,2020-05-27,-,广东省,深圳市,南山区,18320758169,-,594926828@qq.com,-,91440300MA5G79NY8M,91440300MA5G79NY8M,440300210296042,MA5G79NY-8,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市南山区南头街道大新社区大新新村25号502,深圳市南山区南头街道大新社区大新新村25号502,www.yhzxfw.com,一般经营项目是：室内外清洁及消毒服务；国内贸易，经营进出口业务（以上根据法律、行政法规、国务院决定等规定需要审批的，依法取得相关审批文件后方可经营），许可经营项目是：装饰工程的设计及施工；室内外装修工程；空调维修及安装工程；
深圳市昊宇装修工程有限公司,开业,肖伟波,"4,160万(元)",500万(元),2020-04-14,2022-11-08,2020-04-14 至 9999-12-31,广东省,深圳市,龙华区,15818717030,18888178384,15818717030@163.com,18888178384@139.com,91440300MA5G4UG144,91440300MA5G4UG144,440300209893526,MA5G4UG1-4,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市龙华区大浪街道同胜社区中保富裕新村30号1121,深圳市龙华区大浪街道同胜社区中保富裕新村30号1121,-,一般经营项目是：工程管理服务；招投标代理服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；环境保护监测；生态资源监测；安全咨询服务；建筑工程机械与设备租赁；新兴能源技术研发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：对外承包工程；工程造价咨询业务；建设工程监理；建筑劳务分包；房屋建筑和市政基础设施项目工程总承包；地质灾害治理工程施工；安全生产检验检测；施工专业作业。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市海谷装修服务有限公司,开业,赵辉,500万(元),-,2021-06-08,2022-10-14,2021-06-08 至 9999-12-31,广东省,深圳市,宝安区,13538159850,-,609298270@qq.com,-,91440300MA5GTUT56H,91440300MA5GTUT56H,440300214021528,MA5GTUT5-6,0人,有限责任公司,软件和信息技术服务业,-,深圳市宝安区新安街道文汇社区34-2区珠翠路4号招商臻府1栋201-219,深圳市光明区玉塘街道长圳社区长华街6号,-,一般经营项目是：信息技术咨询服务；市场营销策划；企业形象策划；咨询策划服务；信息咨询服务（不含许可类信息咨询服务）；社会经济咨询服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：住宅室内装饰装修；房地产咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市智丽通装修有限公司,开业,李丽琼,500万(元),-,2021-03-26,2021-03-26,-,广东省,深圳市,宝安区,13528537649,-,-,-,91440300MA5GNPT33A,91440300MA5GNPT33A,440300213270617,MA5GNPT3-3,0人,有限责任公司(自然人独资),零售业,-,深圳市宝安区福海街道塘尾社区塘尾八区七巷9号八区七巷9-1号,深圳市宝安区福海街道塘尾社区塘尾八区七巷9号八区七巷9-1号,-,一般经营项目是：室内装饰设计；装饰建材、装饰工艺品、灯具、家具（不含木制品）的销售。，许可经营项目是：室内装饰工程；建筑安装工程。
深圳市诺恒装修有限公司,开业,沈刚,300万(元),-,2021-07-05,2021-07-05,-,广东省,深圳市,南山区,13215175769,-,13076900518@wo.cn,-,91440300MA5GW0WA0U,91440300MA5GW0WA0U,440300214243188,MA5GW0WA-0,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市南山区招商街道文竹园社区工业八路197号翠薇园7栋707,深圳市南山区招商街道文竹园社区工业八路197号翠薇园7栋707,-,一般经营项目是：门窗销售；制冷、空调设备制造；制冷、空调设备销售；卫生洁具研发；卫生洁具销售；建筑装饰材料销售；五金产品研发；五金产品批发；五金产品零售；家具安装和维修服务；住宅水电安装维护服务；家用电器安装服务；专业设计服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：住宅室内装饰装修。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市融易装装修有限公司,开业,傅融,500万(元),-,2021-08-12,2021-09-30,-,广东省,深圳市,深圳市,15989876055,-,578561648@qq.com,-,91440300MA5GXQ8J8G,91440300MA5GXQ8J8G,440300214579103,MA5GXQ8J-8,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市前海深港合作区南山街道梦海大道5035号前海华润金融中心T5写字楼3201-27,深圳市前海深港合作区南山街道梦海大道5035号前海华润金融中心T5写字楼3201-27,-,一般经营项目是：建筑材料销售；建筑装饰材料销售；家具安装和维修服务；轻质建筑材料销售；专业设计服务；工程管理服务；金属门窗工程施工。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：工程造价咨询业务；住宅室内装饰装修；建设工程监理；各类工程建设活动；消防设施工程施工；施工专业作业；建设工程设计；建筑智能化工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市海粤装修工程有限公司,开业,于中海,500万(元),-,2020-11-16,2020-11-16,-,广东省,深圳市,南山区,13760225991,-,-,-,91440300MA5GG70E1R,91440300MA5GG70E1R,440300212000133,MA5GG70E-1,-,有限责任公司(自然人独资),建筑安装业,-,深圳市南山区南头街道马家龙社区南山大道3186号明江大厦C单元五层506室(入驻深圳市可乐商务秘书有限公司),深圳市南山区南头街道马家龙社区南山大道3186号明江大厦C单元五层506室(入驻深圳市可乐商务秘书有限公司),-,一般经营项目是：建筑装饰材料的销售。，许可经营项目是：建筑工程的设计与施工；装修装饰工程；建筑幕墙工程设计与施工，室内外装修装饰工程、水电安装、防水补漏工程；外墙装饰、亮化工程，园林设计；（同意登记机关调整规范经营范围表述，以登记机关登记为准）；建筑工程施工、装饰、装修（取得建设行政主管部门颁发的资质证书方可经营）；电气安装；管道和设备安装。
正坤装修(深圳)有限公司,开业,赵正坤,50万(元),-,2021-09-08,2021-09-08,-,广东省,深圳市,深圳市,13502237039,-,168803526@QQ.com,-,91440300MA5H00343T,91440300MA5H00343T,440300214801427,MA5H0034-3,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市坪山区坑梓街道坑梓社区新发街36号中国银行302,深圳市坪山区坑梓街道坑梓社区新发街36号中国银行302,-,"一般经营项目是:无,许可经营项目是:住宅室内装饰装修。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准)"
深圳市盛居装修工程有限公司,开业,怀团结,500万(元),-,2020-12-09,2022-02-22,2020-12-09 至 9999-12-31,广东省,深圳市,龙岗区,13418904799,-,1097220369@qq.com,-,91440300MA5GHK9D1A,91440300MA5GHK9D1A,440300212260176,MA5GHK9D-1,-,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市龙岗区横岗街道六约社区正和巷7号A101,深圳市龙岗区龙岗街道南联社区爱南路289号303,-,一般经营项目是：装饰装修工程设计；室内外装饰及软装设计；平面设计、视觉艺术设计、产品外观设计；建筑装饰工程设计与施工；建筑工程设计与施工及修缮、建筑工程服务、技术研发；家具和装饰品的销售；国内贸易、经营进出口业务。（以上不含法律、行政法规、国务院决定需要前置审批和禁止的项目，依法须经批准的项目，经相关部门批准后方可开展经营活动），许可经营项目是：无
深圳市富诚建筑装修工程有限公司,开业,孙明强,"1,000万(元)",-,2020-11-26,2022-04-24,2020-11-26 至 9999-12-31,广东省,深圳市,南山区,13570061415,-,2684609514@qq.com,-,91441602MA55LL3X1K,91441602MA55LL3X1K,441602000223915,MA55LL3X-1,-,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市南山区桃源街道桃源社区北环大道方大广场（一期）3、4号研发楼4号楼1406,河源市市区东城西片区文昌路西边、纬十五路北边雅居乐花园二期125栋C1032-2,-,一般经营项目是：工程管理服务；承接总公司工程建设业务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）(依法须经批准的项目，经相关部门批准后方可开展经营活动)，许可经营项目是：各类工程建设活动；水运工程监理；房屋建筑和市政基础设施项目工程总承包；电力设施承装、承修、承试；建设工程监理；建设工程设计；公路工程监理；文物保护工程施工；消防设施工程施工；施工专业作业；建筑劳务分包；住宅室内装饰装修。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市森丰建筑装修工程有限公司,开业,叶德辉,"1,001万(元)",-,2021-05-08,2021-05-08,2021-05-08 至 9999-12-31,广东省,深圳市,南山区,13556268092,-,172472359@qq.com,-,91440300MA5GR2PK6J,91440300MA5GR2PK6J,440300213689071,MA5GR2PK-6,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市深汕特别合作区鹅埠镇蛟湖村88号,深圳市深汕特别合作区鹅埠镇蛟湖村88号,-,一般经营项目是：建材销售；法律咨询（不得以律师名义从事法律服务业务；不得以牟取经济利益从事诉讼和辩护义务）。（依法须经批准的项目，经相关部门批准后方可开展经营活动），许可经营项目是：室内外装修工程；建设工程；机电安装工程；园林绿化工程。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
深圳市奇马装饰装修工程有限公司,开业,查献奇,"1,000万(元)",-,2021-04-09,2021-06-18,-,广东省,深圳市,龙岗区,13714651969,-,13714651969@163.com,-,91440300MA5GPFCD0R,91440300MA5GPFCD0R,440300213399951,MA5GPFCD-0,0人,有限责任公司,房屋建筑业,-,深圳市龙岗区坂田街道万科城社区居里夫人大道神舟电脑大厦6FA区03单元(6A03),深圳市龙岗区坂田街道万科城社区居里夫人大道神舟电脑大厦6FA区03单元（6A03）,-,一般经营项目是：建筑工程机械与设备租赁；建筑劳务分包（须取得建设行政主管部门颁发的资质证书方可从事建筑劳务分包业务）；混凝土预制构件、劳防用品、金属材料、建筑装饰材料、建筑材料、机电设备、仪器仪表、日用百货、电子产品的销售；国内贸易；建筑工程施工；装饰、装修工程、地基与基础工程、景观工程、水电安装工程、市政工程、土方工程、路桥工程的施工；防水工程施工；钢结构工程施工；金属门窗工程施工。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外），许可经营项目是：
深圳市亿邦装修装饰工程有限公司,开业,王鹏,"1,000万(元)",-,2020-10-19,2020-10-19,-,广东省,深圳市,南山区,18038016637,-,153381@qq.com,-,91440300MA5GEF9X53,91440300MA5GEF9X53,440300211678378,MA5GEF9X-5,-,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市南山区粤海街道南油社区东滨路3036号南油文化广场4F-409,深圳市南山区粤海街道南油社区东滨路3036号南油文化广场4F-409,-,一般经营项目是：室内室外装饰工程、水电工程、机电工程、园林绿化工程的设计、施工；建筑材料、装饰材料、家私的购销；装饰装修工程设计、施工、建筑智能化工程；钢结构工程；园林绿化工程的设计及施工；铝合金及不锈钢制品的设计与销售；建筑装饰产品的研发及信息咨询(不含限制项目)；企业形象策划；品牌设计；建筑装饰材料的购销，国内贸易；经营进出口业务 ； 室内外装饰设计、施工；环境艺术设计；建筑装饰材料销售及研发、设计；工艺饰品的销售；图文设计制作；市场营销策划；企业形象策划；舞台艺术造型策划；展览展示服务；经济信息咨询；建筑装饰工程的设计与施工；空调、卫生洁具、音响设备的安装；装饰材料、五金制品的购销；，许可经营项目是：无
深圳恒创设计装修工程有限公司,开业,陈勇文,400万(元),-,2020-10-28,2021-12-13,2020-10-28 至 9999-12-31,广东省,深圳市,龙华区,13602647968,-,2850687662@qq.com,-,91440300MA5GF5T94B,91440300MA5GF5T94B,440300211815324,MA5GF5T9-4,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市龙华区大浪街道横朗社区上横朗新村234号501,深圳市龙华区大浪街道浪口社区华悦路150号潮loft文化创意园D栋307-3,-,一般经营项目是：房屋建筑工程、土石方工程、防水工程、装饰装修工程、净化车间工程、钢结构工程、幕墙工程、金属门窗工程、建筑智能化工程的设计与施工；消防工程、机电工程、灯光亮化工程、园林绿化工程的设计与施工（涉及电力设施承装修的须取得相关部门许可后方可经营）；工程造价咨询；从事广告业务；三维动漫设计；物业管理；投资兴办实业（具体项目另行申报）；建筑材料、装饰材料的销售；国内贸易；货物及技术进出口。，许可经营项目是：无
峻鸿装修设计(深圳)有限公司,开业,李伟雄,100万(元),-,2021-02-24,2021-06-25,-,广东省,深圳市,深圳市,18924615721,-,3247542023@qq.com,-,91440300MA5GLYUX9G,91440300MA5GLYUX9G,440300212956992,MA5GLYUX-9,-,有限责任公司(台港澳自然人独资),零售业,深圳市高致贸易有限公司,深圳市福田区福田街道福安社区民田路178号华融大厦3104k1,深圳市福田区福田街道福安社区民田路178号华融大厦3104k1,-,"一般经营项目是:建筑材料销售;互联网销售(除销售需要许可的商品);专业设计服务。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动),许可经营项目是:无"
深圳市明丽雅装饰装修有限公司,开业,田晓琼,200万(元),-,2020-06-17,2021-11-30,-,广东省,深圳市,龙华区,13714898819,-,2069427840@qq.com,373381634@qq.com,91440300MA5G8HPJ57,91440300MA5G8HPJ57,440300210524641,MA5G8HPJ-5,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市龙华区民治街道白石龙社区新龙大厦808,深圳市龙华区龙华街道三联社区山咀头二区十巷3号302,-,一般经营项目是：建筑装修装饰工程的设计与施工；消防设备、吸排水设备、机电设备的上门安装；消防器材、五金机电、电子产品、电线电缆、安全防护用品、劳保用品、灯具灯饰、安防器材的销售；国内贸易，从事货物及技术进出口业务。，许可经营项目是：无
宏森装修工程(深圳)有限公司,开业,肖文成,100万(元),-,2021-08-12,2021-11-03,-,广东省,深圳市,龙岗区,18664361186,-,3133786394@qq.com,-,91440300MA5GXQ9U43,91440300MA5GXQ9U43,440300214579322,MA5GXQ9U-4,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市龙岗区横岗街道四联社区腾昌二路1号A栋公寓103,宏森装修工程（深圳）有限公司,-,一般经营项目是：承接总公司工程建设业务；建筑装饰材料销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：建筑物拆除作业（爆破作业除外）；各类工程建设活动。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市鹏翰装修有限公司,开业,唐海文,200万(元),-,2021-03-16,2021-03-16,-,广东省,深圳市,福田区,13530500983,-,365007431@qq.com,-,91440300MA5GN1NH46,91440300MA5GN1NH46,440300213145943,MA5GN1NH-4,-,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市福田区园岭街道华林社区八卦路33号八卦岭工业区512栋308D,深圳市福田区园岭街道华林社区八卦路33号八卦岭工业区512栋308D,-,一般经营项目是：装修工程设计；室内装修装饰工程；建筑工程施工；钢结构 工程施工；批发：装饰材料、建筑材料(不含危险化学品)。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：无
